filename,filetype,malicious,polyglot,zero_day,time_to_detect_1,time_to_detect_2
file-0,JAR,True,True,False,,
file-1,PE64,True,False,False,,280.039
file-2,PDF,True,False,False,,
file-3,JAR,True,False,False,247.0,
file-4,JAR,True,False,False,,
file-5,PE32,True,False,True,,
file-6,PDF,True,False,False,,
file-7,PE64,True,False,False,,383.147
file-8,PDF,True,False,False,14.486,320.992
file-9,JAR,True,False,False,,
file-10,JAR,True,True,False,,
file-11,JAR,True,False,False,83.795,
file-12,PE32,True,False,True,,223.215
file-13,PE32,True,False,True,,
file-14,PE32,True,False,False,,1170.371
file-15,PE64,True,False,False,31.483,
file-16,Office,True,False,False,55.857,1925.683
file-17,PDF,True,False,False,,
file-18,PE32,True,False,False,73.62,11.683
file-19,PE32,True,False,False,,1160.88
file-20,JAR,True,True,False,,
file-21,APT,True,False,False,22.571,409.292
file-22,PDF,True,False,False,33.324,1311.096
file-23,PE32,True,False,False,67.444,3088.954
file-24,PE32,True,False,True,,
file-25,PE32,True,False,True,,18.09
file-26,PDF,True,False,False,,1321.364
file-27,PE64,True,False,False,,14.75
file-28,JAR,True,False,False,,
file-29,PE64,True,False,False,13.483,15.141
file-30,JAR,True,False,False,,
file-31,PE32,True,False,True,,18.109
file-32,Office,True,False,False,,1715.427
file-33,PE32,True,False,False,39.9,11.8
file-34,PE32,True,False,True,,211.6
file-35,PE64,True,False,False,,14.769
file-36,Office,True,False,False,29.974,14.698
file-37,PE64,True,False,False,,
file-38,PE32,True,False,False,20.444,
file-39,PDF,True,False,False,,
file-40,JAR,True,True,False,,
file-41,PE64,True,False,False,,664.391
file-42,PDF,True,False,False,,17.511
file-43,JAR,True,False,False,,
file-44,PE64,True,False,False,77.488,132.488
file-45,PDF,True,False,False,,365.113
file-46,JAR,True,False,False,122.795,
file-47,PE32,True,False,False,19.444,14.148
file-48,APT,True,False,False,23.571,385.226
file-49,Office,True,False,False,,14.697
file-50,Office,True,False,False,,3608.128
file-51,PE64,True,False,False,,489.72
file-52,PDF,True,False,False,8.324,145.547
file-53,JAR,True,True,False,,
file-54,PE64,True,False,False,44.592,14.736
file-55,PE32,True,False,True,,
